t,NHS.region,date,deaths_adj,hosp_adm_adj,known_hosp_beds_adj,icu_bed_adj
35,East of England,2020-02-05,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
35,London,2020-02-05,,,,
35,Midlands,2020-02-05,1.15356614529391,0.783770790357575,,
35,North East and Yorkshire,2020-02-05,,,,
35,North West,2020-02-05,1.15020735317589,0.883405586922148,,
35,South East,2020-02-05,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
35,South West,2020-02-05,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665822
36,East of England,2020-02-06,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
36,London,2020-02-06,,,,
36,Midlands,2020-02-06,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437948
36,North East and Yorkshire,2020-02-06,1.15805145890617,0.907612157431794,,
36,North West,2020-02-06,1.15020735317589,0.883405586922148,0.909797461738508,0.970764608955702
36,South East,2020-02-06,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
36,South West,2020-02-06,1.09508527665081,0.687149708284968,0.672287358409494,0.880694495665823
37,East of England,2020-02-07,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960365
37,London,2020-02-07,1.29232568187868,1.84709196450641,,
37,Midlands,2020-02-07,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
37,North East and Yorkshire,2020-02-07,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
37,North West,2020-02-07,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955701
37,South East,2020-02-07,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
37,South West,2020-02-07,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
38,East of England,2020-02-08,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
38,London,2020-02-08,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
38,Midlands,2020-02-08,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437948
38,North East and Yorkshire,2020-02-08,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
38,North West,2020-02-08,1.15020735317589,0.883405586922148,0.909797461738508,0.970764608955701
38,South East,2020-02-08,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
38,South West,2020-02-08,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
39,East of England,2020-02-09,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
39,London,2020-02-09,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
39,Midlands,2020-02-09,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437948
39,North East and Yorkshire,2020-02-09,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
39,North West,2020-02-09,1.15020735317589,0.883405586922148,0.909797461738508,0.970764608955701
39,South East,2020-02-09,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
39,South West,2020-02-09,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
40,East of England,2020-02-10,1.10559476141864,0.644596153925705,0.726394185085303,0.952944484960366
40,London,2020-02-10,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
40,Midlands,2020-02-10,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
40,North East and Yorkshire,2020-02-10,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
40,North West,2020-02-10,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955701
40,South East,2020-02-10,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
40,South West,2020-02-10,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665822
41,East of England,2020-02-11,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
41,London,2020-02-11,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
41,Midlands,2020-02-11,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437948
41,North East and Yorkshire,2020-02-11,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
41,North West,2020-02-11,1.15020735317589,0.883405586922148,0.909797461738508,0.970764608955702
41,South East,2020-02-11,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
41,South West,2020-02-11,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
42,East of England,2020-02-12,1.10559476141864,0.644596153925705,0.726394185085303,0.952944484960365
42,London,2020-02-12,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
42,Midlands,2020-02-12,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
42,North East and Yorkshire,2020-02-12,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
42,North West,2020-02-12,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955701
42,South East,2020-02-12,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
42,South West,2020-02-12,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665822
43,East of England,2020-02-13,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
43,London,2020-02-13,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
43,Midlands,2020-02-13,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
43,North East and Yorkshire,2020-02-13,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
43,North West,2020-02-13,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955701
43,South East,2020-02-13,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
43,South West,2020-02-13,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
44,East of England,2020-02-14,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
44,London,2020-02-14,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
44,Midlands,2020-02-14,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
44,North East and Yorkshire,2020-02-14,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
44,North West,2020-02-14,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955701
