NeutTitreRelConvPlasma,Efficacy,Lower,Upper,NeutRatio_Reported,Study
0.664,76.4819187828594,72.6878264730842,80.2760110926347,-0.177831920631983,LogisticModel
0.665,76.5095477069446,72.7193228927346,80.2997725211546,-0.177178354696895,LogisticModel
0.666,76.5371155854514,72.7507445094192,80.3234866614836,-0.176525770829699,LogisticModel
0.667,76.564622621465,72.7820915770755,80.3471536658545,-0.175874166083451,LogisticModel
0.668,76.5920690171564,72.8133643520544,80.3707736822584,-0.175223537524454,LogisticModel
0.669,76.619454973788,72.8445630809403,80.3943468666357,-0.174573882232177,LogisticModel
0.67,76.6467806917189,72.8756880247823,80.4178733586555,-0.173925197299174,LogisticModel
0.671,76.6740463704094,72.9067394255905,80.4413533152284,-0.173277479831008,LogisticModel
0.672,76.701252208427,72.9377175331838,80.4647868836703,-0.172630726946175,LogisticModel
0.673,76.7283984034508,72.9686226009468,80.4881742059548,-0.171984935776023,LogisticModel
0.674,76.7554851522767,72.9994548741081,80.5115154304454,-0.17134010346468,LogisticModel
0.675,76.7825126508227,73.0302145992971,80.5348107023484,-0.170696227168975,LogisticModel
0.676,76.8094810941334,73.0609020189634,80.5580601693034,-0.170053304058364,LogisticModel
0.677,76.8363906763854,73.0915173778873,80.5812639748835,-0.169411331314856,LogisticModel
0.678,76.8632415908919,73.1220609220149,80.6044222597688,-0.168770306132937,LogisticModel
0.679,76.8900340301075,73.1525328914149,80.6275351688002,-0.168130225719498,LogisticModel
0.68,76.9167681856336,73.1829335282541,80.6506028430131,-0.167491087293764,LogisticModel
0.681,76.9434442482223,73.213263071602,80.6736254248427,-0.166852888087215,LogisticModel
0.682,76.9700624077822,73.2435217573025,80.6966030582619,-0.166215625343521,LogisticModel
0.683,76.9966228533821,73.2737098318658,80.7195358748984,-0.165579296318467,LogisticModel
0.684,77.0231257732565,73.3038275227844,80.7424240237287,-0.164943898279884,LogisticModel
0.685,77.0495713548101,73.333875072802,80.7652676368182,-0.164309428507574,LogisticModel
0.686,77.075959784622,73.3638527116191,80.7880668576249,-0.163675884293248,LogisticModel
0.687,77.1022912484509,73.3937606762426,80.8108218206593,-0.16304326294045,LogisticModel
0.688,77.1285659312394,73.4235992021002,80.8335326603786,-0.162411561764489,LogisticModel
0.689,77.1547840171184,73.4533685147213,80.8561995195155,-0.161780778092374,LogisticModel
0.69,77.180945689412,73.4830688506332,80.8788225281907,-0.161150909262745,LogisticModel
0.691,77.2070511306416,73.5127004390926,80.9014018221905,-0.160521952625802,LogisticModel
0.692,77.2331005225306,73.5422635061186,80.9239375389427,-0.159893905543242,LogisticModel
0.693,77.2590940460089,73.5717582844664,80.9464298075513,-0.159266765388193,LogisticModel
0.694,77.2850318812168,73.601184994625,80.9688787678086,-0.158640529545145,LogisticModel
0.695,77.3109142075102,73.6305438705039,80.9912845445164,-0.158015195409886,LogisticModel
0.696,77.3367412034639,73.6598351324625,81.0136472744654,-0.157390760389438,LogisticModel
0.697,77.362513046877,73.6890590065297,81.0359670872244,-0.156767221901991,LogisticModel
0.698,77.3882299147764,73.7182157153953,81.0582441141574,-0.156144577376839,LogisticModel
0.699,77.4138919834211,73.7473054832291,81.0804784836132,-0.155522824254319,LogisticModel
0.7,77.439499428307,73.7763285278995,81.1026703287145,-0.154901959985743,LogisticModel
0.701,77.4650524241704,73.8052850717256,81.1248197766153,-0.154281982033341,LogisticModel
0.702,77.4905511449928,73.8341753378399,81.1469269521457,-0.153662887870195,LogisticModel
0.703,77.5159957640044,73.8629995396676,81.1689919883411,-0.153044674980176,LogisticModel
0.704,77.5413864536886,73.8917578985147,81.1910150088624,-0.152427340857888,LogisticModel
0.705,77.5667233857861,73.9204506312935,81.2129961402786,-0.151810883008601,LogisticModel
0.706,77.5920067312989,73.949077953401,81.2349355091967,-0.151195298948196,LogisticModel
0.707,77.6172366604941,73.9776400776519,81.2568332433363,-0.150580586203101,LogisticModel
0.708,77.6424133429083,74.0061372229356,81.278689462881,-0.149966742310231,LogisticModel
0.709,77.6675369473513,74.0345695984764,81.3005042962262,-0.149353764816934,LogisticModel
0.71,77.6926076419101,74.0629374191134,81.3222778647067,-0.148741651280925,LogisticModel
0.711,77.7176255939528,74.0912408958837,81.3440102920219,-0.148130399270234,LogisticModel
0.712,77.7425909701326,74.1194802383389,81.3657017019264,-0.147520006363144,LogisticModel
0.713,77.7675039363918,74.1476556609389,81.3873522118446,-0.146910470148134,LogisticModel
0.714,77.792364657965,74.175767366967,81.4089619489631,-0.146301788223826,LogisticModel
0.715,77.8171732993839,74.2038155658162,81.4305310329516,-0.145693958198919,LogisticModel
0.716,77.8419300244802,74.2318004692417,81.4520595797186,-0.145086977692144,LogisticModel
0.717,77.8666349963899,74.2597222780008,81.4735477147791,-0.1444808443322,LogisticModel
0.718,77.8912883775569,74.2875812017396,81.4949955533742,-0.1438755557577,LogisticModel
0.719,77.9158903297368,74.3153774430139,81.5164032164597,-0.143271109617117,LogisticModel
0.72,77.9404410140003,74.3431112074978,81.5377708205027,-0.142667503568732,LogisticModel
0.721,77.9649405907372,74.3707826954512,81.5590984860233,-0.142064735280571,LogisticModel
0.722,77.9893892196601,74.3983921120255,81.5803863272946,-0.141462802430361,LogisticModel
0.723,78.0137870598075,74.4259396567879,81.6016344628271,-0.140861702705469,LogisticModel
0.724,78.0381342695482,74.4534255324447,81.6228430066516,-0.140261433802853,LogisticModel
0.725,78.062431006584,74.4808499357947,81.6440120773732,-0.139661993429006,LogisticModel
0.726,78.086677427954,74.5082130693544,81.6651417865537,-0.139063379299906,LogisticModel
0.727,78.1108736900379,74.5355151291566,81.6862322509192,-0.138465589140962,LogisticModel
0.728,78.1350199485591,74.5627563120376,81.7072835850806,-0.137868620686963,LogisticModel
0.729,78.1591163585889,74.5899368165197,81.728295900658,-0.137272471682025,LogisticModel
0.73,78.1831630745492,74.6170568362392,81.7492693128592,-0.136677139879544,LogisticModel
0.731,78.2071602502168,74.6441165679058,81.7702039325278,-0.13608262304214,LogisticModel
0.732,78.231108038726,74.6711162047429,81.791099872709,-0.135488918941608,LogisticModel
0.733,78.2550065925724,74.6980559420433,81.8119572431014,-0.134896025358872,LogisticModel
0.734,78.2788560636163,74.7249359704197,81.8327761568129,-0.134303940083929,LogisticModel
0.735,78.3026566030861,74.7517564826096,81.8535567235626,-0.133712660915805,LogisticModel
0.736,78.3264083615813,74.7785176661754,81.8742990569872,-0.133122185662501,LogisticModel
0.737,78.3501114890761,74.8052197177243,81.895003260428,-0.132532512140949,LogisticModel
0.738,78.3737661349227,74.8318628234625,81.9156694463829,-0.131943638176958,LogisticModel
0.739,78.3973724478544,74.8584471701962,81.9362977255125,-0.131355561605174,LogisticModel
0.74,78.4209305759888,74.8849729497383,81.9568882022393,-0.130768280269024,LogisticModel
0.741,78.4444406668316,74.9114403461665,81.9774409874967,-0.130181792020672,LogisticModel
0.742,78.4679028672789,74.9378495483682,81.9979561861895,-0.129596094720973,LogisticModel
